Epoch: 0, Step: 0, train_acc: 0.14, val_acc: 0.08, train_ce: 2.07171, val_ce: 2.0816
Epoch: 0, Step: 1, train_acc: 0.44, val_acc: 0.3, train_ce: 1.91237, val_ce: 1.97865
Epoch: 0, Step: 2, train_acc: 0.41, val_acc: 0.34, train_ce: 1.79248, val_ce: 1.82749
Epoch: 0, Step: 3, train_acc: 0.45, val_acc: 0.35, train_ce: 1.66733, val_ce: 1.69284
Epoch: 0, Step: 4, train_acc: 0.55, val_acc: 0.35, train_ce: 1.39972, val_ce: 1.58441
Epoch: 0, Step: 5, train_acc: 0.58, val_acc: 0.36, train_ce: 1.26578, val_ce: 1.50026
Epoch: 0, Step: 6, train_acc: 0.61, val_acc: 0.43, train_ce: 1.23588, val_ce: 1.4265
Epoch: 0, Step: 7, train_acc: 0.61, val_acc: 0.55, train_ce: 1.11024, val_ce: 1.36579
Epoch: 0, Step: 8, train_acc: 0.7, val_acc: 0.52, train_ce: 1.03236, val_ce: 1.33282
Epoch: 0, Step: 9, train_acc: 0.56, val_acc: 0.51, train_ce: 1.26304, val_ce: 1.31931
Epoch: 0, Step: 10, train_acc: 0.69, val_acc: 0.54, train_ce: 1.11259, val_ce: 1.28291
Epoch: 0, Step: 11, train_acc: 0.7, val_acc: 0.59, train_ce: 1.07523, val_ce: 1.22947
Epoch: 0, Step: 12, train_acc: 0.63, val_acc: 0.59, train_ce: 0.979904, val_ce: 1.17422
Epoch: 0, Step: 13, train_acc: 0.73, val_acc: 0.6, train_ce: 1.05361, val_ce: 1.12173
Epoch: 0, Step: 14, train_acc: 0.7, val_acc: 0.66, train_ce: 0.965979, val_ce: 1.08332
Epoch: 0, Step: 15, train_acc: 0.72, val_acc: 0.63, train_ce: 0.916083, val_ce: 1.05918
Epoch: 0, Step: 16, train_acc: 0.58, val_acc: 0.66, train_ce: 1.11178, val_ce: 1.03633
Epoch: 0, Step: 17, train_acc: 0.69, val_acc: 0.69, train_ce: 0.874968, val_ce: 1.01548
Epoch: 0, Step: 18, train_acc: 0.72, val_acc: 0.67, train_ce: 0.952112, val_ce: 0.998676
Epoch: 0, Step: 19, train_acc: 0.77, val_acc: 0.7, train_ce: 0.739809, val_ce: 0.983174
Epoch: 0, Step: 20, train_acc: 0.7, val_acc: 0.69, train_ce: 0.774672, val_ce: 0.974132
Epoch: 0, Step: 21, train_acc: 0.77, val_acc: 0.68, train_ce: 0.663609, val_ce: 0.971428
Epoch: 0, Step: 22, train_acc: 0.73, val_acc: 0.67, train_ce: 0.789204, val_ce: 0.975309
Epoch: 0, Step: 23, train_acc: 0.75, val_acc: 0.67, train_ce: 0.725003, val_ce: 0.973659
Epoch: 0, Step: 24, train_acc: 0.78, val_acc: 0.66, train_ce: 0.817834, val_ce: 0.972426
Epoch: 0, Step: 25, train_acc: 0.77, val_acc: 0.65, train_ce: 0.692873, val_ce: 0.966111
Epoch: 0, Step: 26, train_acc: 0.73, val_acc: 0.64, train_ce: 0.743283, val_ce: 0.966712
Epoch: 0, Step: 27, train_acc: 0.76, val_acc: 0.65, train_ce: 0.700815, val_ce: 0.964804
Epoch: 0, Step: 28, train_acc: 0.76, val_acc: 0.64, train_ce: 0.777088, val_ce: 0.9565
Epoch: 0, Step: 29, train_acc: 0.74, val_acc: 0.67, train_ce: 0.78492, val_ce: 0.94282
Epoch: 0, Step: 30, train_acc: 0.81, val_acc: 0.68, train_ce: 0.548478, val_ce: 0.928631
Epoch: 0, Step: 31, train_acc: 0.78, val_acc: 0.69, train_ce: 0.695135, val_ce: 0.919507
Epoch: 0, Step: 32, train_acc: 0.75, val_acc: 0.68, train_ce: 0.66925, val_ce: 0.909419
Epoch: 0, Step: 33, train_acc: 0.82, val_acc: 0.69, train_ce: 0.672804, val_ce: 0.900479
Epoch: 0, Step: 34, train_acc: 0.73, val_acc: 0.68, train_ce: 0.743997, val_ce: 0.891024
Epoch: 0, Step: 35, train_acc: 0.72, val_acc: 0.7, train_ce: 0.921399, val_ce: 0.884373
Epoch: 0, Step: 36, train_acc: 0.69, val_acc: 0.71, train_ce: 0.859796, val_ce: 0.881184
Epoch: 0, Step: 37, train_acc: 0.78, val_acc: 0.71, train_ce: 0.674329, val_ce: 0.886231
Epoch: 0, Step: 38, train_acc: 0.79, val_acc: 0.7, train_ce: 0.620873, val_ce: 0.893259
Epoch: 0, Step: 39, train_acc: 0.73, val_acc: 0.7, train_ce: 0.900829, val_ce: 0.897458
Epoch: 0, Step: 40, train_acc: 0.7, val_acc: 0.7, train_ce: 0.770468, val_ce: 0.892478
Epoch: 0, Step: 41, train_acc: 0.81, val_acc: 0.7, train_ce: 0.613373, val_ce: 0.882286
Epoch: 0, Step: 42, train_acc: 0.84, val_acc: 0.69, train_ce: 0.498961, val_ce: 0.873933
Epoch: 0, Step: 43, train_acc: 0.79, val_acc: 0.68, train_ce: 0.672359, val_ce: 0.866897
Epoch: 0, Step: 44, train_acc: 0.7, val_acc: 0.69, train_ce: 0.858729, val_ce: 0.860779
Epoch: 0, Step: 45, train_acc: 0.83, val_acc: 0.7, train_ce: 0.62679, val_ce: 0.853813
Epoch: 0, Step: 46, train_acc: 0.8, val_acc: 0.7, train_ce: 0.558574, val_ce: 0.842901
Epoch: 0, Step: 47, train_acc: 0.79, val_acc: 0.71, train_ce: 0.534634, val_ce: 0.830908
Epoch: 0, Step: 48, train_acc: 0.7, val_acc: 0.71, train_ce: 0.767673, val_ce: 0.819441
Epoch: 0, Step: 49, train_acc: 0.73, val_acc: 0.72, train_ce: 0.64301, val_ce: 0.810515
Epoch: 0, Step: 50, train_acc: 0.71, val_acc: 0.72, train_ce: 0.831881, val_ce: 0.808024
Epoch: 0, Step: 51, train_acc: 0.83, val_acc: 0.72, train_ce: 0.548391, val_ce: 0.809854
Epoch: 0, Step: 52, train_acc: 0.73, val_acc: 0.73, train_ce: 0.775552, val_ce: 0.819774
Epoch: 0, Step: 53, train_acc: 0.73, val_acc: 0.72, train_ce: 0.920873, val_ce: 0.834352
Epoch: 0, Step: 54, train_acc: 0.71, val_acc: 0.7, train_ce: 0.709081, val_ce: 0.833292
Epoch: 0, Step: 55, train_acc: 0.73, val_acc: 0.7, train_ce: 0.688916, val_ce: 0.823545
Epoch: 0, Step: 56, train_acc: 0.79, val_acc: 0.71, train_ce: 0.583319, val_ce: 0.809841
Epoch: 0, Step: 57, train_acc: 0.72, val_acc: 0.74, train_ce: 0.843479, val_ce: 0.803982
Epoch: 0, Step: 58, train_acc: 0.7, val_acc: 0.72, train_ce: 0.744346, val_ce: 0.802193
Epoch: 0, Step: 59, train_acc: 0.79, val_acc: 0.73, train_ce: 0.640558, val_ce: 0.805912
Epoch: 0, Step: 60, train_acc: 0.81, val_acc: 0.72, train_ce: 0.634171, val_ce: 0.807867
Epoch: 0, Step: 61, train_acc: 0.81, val_acc: 0.73, train_ce: 0.612266, val_ce: 0.807584
Epoch: 0, Step: 62, train_acc: 0.77, val_acc: 0.73, train_ce: 0.653618, val_ce: 0.807211
Epoch: 0, Step: 63, train_acc: 0.77, val_acc: 0.73, train_ce: 0.641264, val_ce: 0.804217
Epoch: 0, Step: 64, train_acc: 0.8, val_acc: 0.72, train_ce: 0.637112, val_ce: 0.795345
Epoch: 0, Step: 65, train_acc: 0.72, val_acc: 0.71, train_ce: 0.78285, val_ce: 0.786772
Epoch: 0, Step: 66, train_acc: 0.81, val_acc: 0.73, train_ce: 0.452277, val_ce: 0.779932
Epoch: 0, Step: 67, train_acc: 0.83, val_acc: 0.73, train_ce: 0.586476, val_ce: 0.777727
Epoch: 0, Step: 68, train_acc: 0.74, val_acc: 0.72, train_ce: 0.674337, val_ce: 0.779782
('file saved', './save_epoch0.npy')
